regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-publication-service
2025-11-21T10:54:45.648534366Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: b69c7c19-8808-411c-813b-deaaa6b55295
2025-11-21T10:54:45.652170294Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: b69c7c19-8808-411c-813b-deaaa6b55295
2025-11-21T10:54:45.662274073Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: 80e39ab1-721c-43d7-9e7b-cbf84e688e7d
2025-11-21T10:54:45.663307381Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: 80e39ab1-721c-43d7-9e7b-cbf84e688e7d
2025-11-21T10:54:45.698747759Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: b69c7c19-8808-411c-813b-deaaa6b55295
2025-11-21T10:54:45.709456343Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: 80e39ab1-721c-43d7-9e7b-cbf84e688e7d

2025-11-21T10:54:46.578557939Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: 4655f0ee-2348-4bf9-a989-c8235503b267
2025-11-21T10:54:46.582850129Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: 4655f0ee-2348-4bf9-a989-c8235503b267
2025-11-21T10:54:46.583061948Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: 4655f0ee-2348-4bf9-a989-c8235503b267
2025-11-21T10:54:46.589056492Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: 4655f0ee-2348-4bf9-a989-c8235503b267
2025-11-21T10:54:46.589361920Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: 4655f0ee-2348-4bf9-a989-c8235503b267

2025-11-21T10:54:46.607214940Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: ee599d95-6895-4ac0-bcec-02859d1cf04f
2025-11-21T10:54:46.612587828Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: ee599d95-6895-4ac0-bcec-02859d1cf04f
2025-11-21T10:54:46.612607529Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: ee599d95-6895-4ac0-bcec-02859d1cf04f
2025-11-21T10:54:46.620053405Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: 4655f0ee-2348-4bf9-a989-c8235503b267
2025-11-21T10:54:46.623234394Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: ee599d95-6895-4ac0-bcec-02859d1cf04f
2025-11-21T10:54:46.623590126Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: ee599d95-6895-4ac0-bcec-02859d1cf04f
